operation,family,n,status,bmd_cold_time_s,bmd_warm_time_s,dense_time_s,dense_over_bmd_cold,dense_over_bmd_warm,bmd_base_nodes,bmd_result_nodes,bmd_new_workspace_nodes,bmd_cache_entries_after,numeric_check
add,monomial_pair,1000,OK,0.000249,1.6216e-05,2.63402597402597e-07,0.00105784175663694,0.0162433767515169,9,9,1,1,1
add,monomial_pair,10000,OK,0.000155,1.6001593220339e-05,2.14294610778443e-06,0.0138254587598996,0.133920796402987,9,9,1,1,1
add,monomial_pair,100000,OK,0.00012,1.57982033898305e-05,1.9444e-05,0.162033333333333,1.23077286196457,11,11,1,1,1
add,monomial_pair,1000000,OK,8.4e-05,1.53535e-05,0.000138751714285714,1.65180612244898,9.03713904228445,13,13,1,1,1
multiply,monomial_pair,100,OK,0.000454,1.6272779661017e-05,2.62797604790419e-06,0.00578849349758633,0.161495214870989,5,5,5,6,1
multiply,monomial_pair,500,OK,0.00053,1.67326666666667e-05,4.95701796407186e-06,0.00935286408315445,0.296247936017681,8,8,11,12,1
multiply,monomial_pair,1000,OK,0.000598,1.52868955223881e-05,7.94367857142857e-06,0.0132837434304826,0.519639750255037,9,9,12,13,1
multiply,monomial_pair,2000,OK,0.000591,1.48988358208955e-05,2.53588571428571e-05,0.0429083877205705,1.70206970851317,10,10,13,14,1
multiply,geometric_pair,50,OK,0.014798,1.55263174603175e-05,2.34953293413174e-06,0.000158773681182034,0.151325833710198,10,100,271,38,1
multiply,geometric_pair,100,OK,0.02458,1.55580634920635e-05,3.06839043824701e-06,0.000124832808716315,0.197221874034147,12,200,524,47,1
evaluate,geometric,100,OK,0.000156399333333333,0.000156399333333333,1.24883433133733e-06,0.00798490827755441,0.00798490827755441,12,12,NaN,0,1
evaluate,geometric,1000,OK,0.000239946,0.000239946,7.40012698412698e-06,0.0308408016142256,0.0308408016142256,18,18,NaN,0,1
evaluate,geometric,5000,OK,0.000280241,0.000280241,3.60124285714286e-05,0.128505210056446,0.128505210056446,24,24,NaN,0,1
evaluate,monomial,10000,OK,7.50445714285714e-05,7.50445714285714e-05,7.29017142857143e-05,0.971445540935672,0.971445540935672,5,5,NaN,0,1
evaluate,monomial,1000000,OK,9.37569090909091e-05,9.37569090909091e-05,0.007230666,77.1214203850189,77.1214203850189,7,7,NaN,0,1
equality,geometric,1000,OK,1.19294610778443e-06,1.19294610778443e-06,3.37328671328671e-07,0.28276941357826,0.28276941357826,18,NaN,NaN,0,1
equality,geometric,5000,OK,1.12707784431138e-06,1.12707784431138e-06,2.36150898203593e-06,2.09524922697666,2.09524922697666,24,NaN,NaN,0,1
