family,n,param,bmd_status,bmd_build_time_s,bmd_reachable_nodes,bmd_workspace_nodes,bmd_garbage_nodes,bmd_workspace_over_reachable,bmd_reachable_payload_bytes_lb,bmd_workspace_payload_bytes_lb,bmd_compact_time_s,bmd_compact_nodes,bmd_compact_payload_bytes_lb,bmd_compact_exact,dense_status,dense_build_time_s,dense_coefficients,dense_bytes,dense_bytes_over_compact_payload,dense_build_over_bmd_build
monomial,1000,0,OK,0.000324666,6,6,0,1,168,168,0.002299,6,168,1,OK,2.16e-07,1001,8008,47.6666666666667,0.000665299107390364
monomial,10000,0,OK,0.000248732666666667,5,5,0,1,140,140,0.001667,5,140,1,OK,3.65404780876494e-06,10001,80008,571.485714285714,0.0146906631032177
monomial,1000000,0,OK,0.000286399333333333,7,7,0,1,196,196,0.002224,7,196,1,OK,0.000819716,1000001,8000008,40816.3673469388,2.86214353385366
geometric_sum,100,0,OK,0.015879666,12,297,285,24.75,336,8316,0.001257,12,336,1,OK,4.62891904539075e-09,101,808,2.4047619047619,2.91499773697429e-07
geometric_sum,500,0,OK,0.090390666,16,1494,1478,93.375,448,41832,0.001297,16,448,1,OK,1.32533466533467e-07,501,4008,8.94642857142857,1.46622956106404e-06
geometric_sum,1000,0,OK,0.191667666,18,2994,2976,166.333333333333,504,83832,0.001098,18,504,1,OK,2.84381618381618e-07,1001,8008,15.8888888888889,1.4837224468608e-06
weighted_sum,50,0,OK,0.012933666,50,287,237,5.74,1400,8036,0.002509,50,1400,1,OK,4.84181818181818e-07,51,408,0.291428571428571,3.74357756093143e-05
weighted_sum,100,0,OK,0.030332666,100,673,573,6.73,2800,18844,0.004147,100,2800,1,OK,5.40125874125874e-07,101,808,0.288571428571429,1.78067392469186e-05
binomial,10,0,OK,0.004190666,10,78,68,7.8,280,2184,0.00068,10,280,1,OK,8.73832142857143e-06,11,88,0.314285714285714,0.00208518680051606
binomial,20,0,OK,0.013644666,20,277,257,13.85,560,7756,0.000992,20,560,1,OK,1.68892142857143e-05,21,168,0.3,0.00123778876564031
product_powers_plus_1,10,1,OK,0.018533666,55,348,293,6.32727272727273,1540,9744,0.002339,55,1540,1,OK,2.35635e-05,56,448,0.290909090909091,0.00127138904952749
product_powers_plus_1,5,8,OK,0.141760666,120,2356,2236,19.6333333333333,3360,65968,0.0057,120,3360,1,OK,4.43451666666667e-05,121,968,0.288095238095238,0.000312817143978899
