operation,family,comparison,status,n_low,n_high,ratio_low,ratio_high,crossover_n_estimate,direction
add,monomial_pair,dense_over_bmd_cold,BRACKETED,400000,600000,0.703791176470588,1.20064619164619,522235.797332412,BMD_becomes_faster
add,monomial_pair,dense_over_bmd_warm,BRACKETED,50000,100000,0.934525165110453,1.28789284108448,57880.0055248697,BMD_becomes_faster
add,monomial_pair,sparse_over_bmd_cold,NO_CROSSING,50000,1500000,0.0220694980694981,0.069931615030808,NaN,baseline_faster_all_measured
add,monomial_pair,sparse_over_bmd_warm,NO_CROSSING,50000,1500000,0.362988980957553,0.326820761927437,NaN,baseline_faster_all_measured
multiply,monomial_pair,dense_over_bmd_cold,NO_CROSSING,500,10000,0.00884025989418902,0.216044392974329,NaN,baseline_faster_all_measured
multiply,monomial_pair,dense_over_bmd_warm,BRACKETED,1000,1250,0.554103923199313,1.1245832268745,1204.57701357286,BMD_becomes_faster
multiply,monomial_pair,sparse_over_bmd_cold,NO_CROSSING,500,10000,0.0059406779661017,0.00741125519154803,NaN,baseline_faster_all_measured
multiply,monomial_pair,sparse_over_bmd_warm,NO_CROSSING,500,10000,0.250221099248263,0.235414325305574,NaN,baseline_faster_all_measured
multiply,geometric_pair,dense_over_bmd_cold,NO_CROSSING,50,100,0.000195162209573437,0.000143016271682739,NaN,baseline_faster_all_measured
multiply,geometric_pair,dense_over_bmd_warm,NO_CROSSING,50,100,0.169216469871832,0.229754321280809,NaN,baseline_faster_all_measured
multiply,geometric_pair,sparse_over_bmd_cold,NO_CROSSING,50,100,0.00787071229913473,0.0162437833971473,NaN,baseline_faster_all_measured
multiply,geometric_pair,sparse_over_bmd_warm,NO_CROSSING,50,100,6.82434449552199,26.095488195379,NaN,BMD_faster_all_measured
evaluate,monomial,dense_over_bmd_cold,BRACKETED,10000,12500,0.950835465336011,1.04509397191626,11263.8908489049,BMD_becomes_faster
evaluate,monomial,dense_over_bmd_warm,BRACKETED,10000,12500,0.950835465336011,1.04509397191626,11263.8908489049,BMD_becomes_faster
evaluate,monomial,sparse_over_bmd_cold,NO_CROSSING,2500,1000000,0.00430408512997721,0.00335456167533585,NaN,baseline_faster_all_measured
evaluate,monomial,sparse_over_bmd_warm,NO_CROSSING,2500,1000000,0.00430408512997721,0.00335456167533585,NaN,baseline_faster_all_measured
evaluate,geometric,dense_over_bmd_cold,NO_CROSSING,1000,10000,0.0345954128586429,0.225109246161643,NaN,baseline_faster_all_measured
evaluate,geometric,dense_over_bmd_warm,NO_CROSSING,1000,10000,0.0345954128586429,0.225109246161643,NaN,baseline_faster_all_measured
evaluate,geometric,sparse_over_bmd_cold,NO_CROSSING,1000,10000,0.112900628490978,0.374616854879237,NaN,baseline_faster_all_measured
evaluate,geometric,sparse_over_bmd_warm,NO_CROSSING,1000,10000,0.112900628490978,0.374616854879237,NaN,baseline_faster_all_measured
equality,geometric,dense_over_bmd_cold,BRACKETED,2500,3000,0.944229215509744,1.21455723361675,2606.08277649142,BMD_becomes_faster
equality,geometric,dense_over_bmd_warm,BRACKETED,2500,3000,0.944229215509744,1.21455723361675,2606.08277649142,BMD_becomes_faster
equality,geometric,sparse_over_bmd_cold,BRACKETED,1000,2000,0.757231578273084,1.50715280514019,1323.18414572698,BMD_becomes_faster
equality,geometric,sparse_over_bmd_warm,BRACKETED,1000,2000,0.757231578273084,1.50715280514019,1323.18414572698,BMD_becomes_faster
