operation,family,n,status,bmd_cold_time_s,bmd_warm_time_s,dense_time_s,sparse_time_s,dense_over_bmd_cold,dense_over_bmd_warm,sparse_over_bmd_cold,sparse_over_bmd_warm,bmd_base_nodes,bmd_result_nodes,bmd_new_workspace_nodes,bmd_cache_entries_after,sparse_terms_a,sparse_terms_b,sparse_result_terms,numeric_check_dense,numeric_check_sparse
add,monomial_pair,50000,OK,0.000259,1.57470344827586e-05,1.4716e-05,5.716e-06,0.0568185328185328,0.934525165110453,0.0220694980694981,0.362988980957553,10,10,1,1,1,1,2,1,1
add,monomial_pair,100000,OK,0.000172,1.51032881355932e-05,1.94514166666667e-05,5.10073053892216e-06,0.113089631782946,1.28789284108448,0.0296554101100125,0.337723182735387,11,11,1,1,1,1,2,1,1
add,monomial_pair,200000,OK,7e-05,1.51202372881356e-05,3.26454117647059e-05,6.35821556886228e-06,0.466363025210084,2.15905419621435,0.0908316509837468,0.420510303356904,12,12,1,1,1,1,2,1,1
add,monomial_pair,400000,OK,8.5e-05,1.61213571428571e-05,5.982225e-05,4.78336526946108e-06,0.703791176470588,3.71074528464902,0.0562748855230715,0.296709838202451,13,13,1,1,1,1,2,1,1
add,monomial_pair,600000,OK,7.4e-05,1.70524406779661e-05,8.88478181818182e-05,4.96899401197605e-06,1.20064619164619,5.21026988802962,0.0671485677294061,0.291394886269659,14,14,1,1,1,1,2,1,1
add,monomial_pair,800000,OK,0.000112,1.59846440677966e-05,0.000129751714285714,4.81929341317365e-06,1.15849744897959,8.11727266089822,0.0430294054747648,0.301495197061211,14,14,1,1,1,1,2,1,1
add,monomial_pair,1000000,OK,7.5e-05,1.7081873015873e-05,0.000129037428571429,4.93306586826347e-06,1.72049904761905,7.55405618877526,0.0657742115768463,0.288789517617858,13,13,1,1,1,1,2,1,1
add,monomial_pair,1500000,OK,6.9e-05,1.47643050847458e-05,0.000193749333333333,4.82528143712575e-06,2.80796135265701,13.122821035005,0.069931615030808,0.326820761927437,15,15,1,1,1,1,2,1,1
multiply,monomial_pair,500,OK,0.000649,1.54083728813559e-05,5.73732867132867e-06,3.8555e-06,0.00884025989418902,0.372351364774591,0.0059406779661017,0.250221099248263,8,8,11,12,1,1,1,1,1
multiply,monomial_pair,1000,OK,0.00055,1.53834603174603e-05,8.52403571428571e-06,3.8755e-06,0.0154982467532468,0.554103923199313,0.00704636363636364,0.251926414475246,9,9,12,13,1,1,1,1,1
multiply,monomial_pair,1250,OK,0.000404,1.5034253968254e-05,1.69072698412698e-05,3.42297211155378e-06,0.0418496778249254,1.1245832268745,0.00847270324642026,0.227678215279698,6,6,9,9,1,1,1,1,1
multiply,monomial_pair,1500,OK,0.000587,1.5730406779661e-05,2.3241e-05,3.82934661354582e-06,0.0395928449744463,1.47745702482723,0.00652358877946476,0.243435956055317,9,9,14,14,1,1,1,1,1
multiply,monomial_pair,1750,OK,0.000549,1.56287118644068e-05,2.68423157894737e-05,3.62217529880478e-06,0.0488931070846515,1.71750020234265,0.00659776921458066,0.231764161386455,8,8,12,13,1,1,1,1,1
multiply,monomial_pair,2000,OK,0.000625,1.56456610169492e-05,3.06748235294118e-05,3.49070119521912e-06,0.0490797176470588,1.96059619955854,0.0055851219123506,0.223109857195397,10,10,13,14,1,1,1,1,1
multiply,monomial_pair,3000,OK,0.000653,1.46691746031746e-05,4.43268695652174e-05,3.28751394422311e-06,0.0678818829482655,3.02176985170144,0.00503447770937689,0.224110356114491,10,10,15,15,1,1,1,1,1
multiply,monomial_pair,5000,OK,0.000431,1.56850476190476e-05,6.200975e-05,3.34727490039841e-06,0.143874129930394,3.95343077726436,0.00776629907285013,0.213405466256509,8,8,11,11,1,1,1,1,1
multiply,monomial_pair,10000,OK,0.000471,1.48279047619048e-05,0.000101756909090909,3.49070119521912e-06,0.216044392974329,6.86252783011789,0.00741125519154803,0.235414325305574,9,9,12,12,1,1,1,1,1
multiply,geometric_pair,50,OK,0.012944,1.49286865671642e-05,2.52617964071856e-06,0.0001018785,0.000195162209573437,0.169216469871832,0.00787071229913473,6.82434449552199,10,100,271,38,51,51,101,1,1
multiply,geometric_pair,100,OK,0.023767,1.47943582089552e-05,3.39906772908367e-06,0.000386066,0.000143016271682739,0.229754321280809,0.0162437833971473,26.095488195379,12,200,524,47,101,101,201,1,1
evaluate,monomial,2500,OK,7.67493333333333e-05,7.67493333333333e-05,1.88207169811321e-05,3.30335664335664e-07,0.245223198218426,0.245223198218426,0.00430408512997721,0.00430408512997721,5,5,NaN,0,1,NaN,NaN,1,1
evaluate,monomial,5000,OK,8.21743333333333e-05,8.21743333333333e-05,3.72621538461538e-05,2.21444555444555e-07,0.453452463009381,0.453452463009381,0.00269481414039934,0.00269481414039934,5,5,NaN,0,1,NaN,NaN,1,1
evaluate,monomial,7500,OK,9.69387272727273e-05,9.69387272727273e-05,5.59186315789474e-05,2.12453546453546e-07,0.576845118067478,0.576845118067478,0.00219162714872282,0.00219162714872282,7,7,NaN,0,1,NaN,NaN,1,1
evaluate,monomial,10000,OK,7.88352307692308e-05,7.88352307692308e-05,7.49593333333333e-05,2.29436563436563e-07,0.950835465336011,0.950835465336011,0.00291033033325136,0.00291033033325136,5,5,NaN,0,1,NaN,NaN,1,1
evaluate,monomial,12500,OK,8.50076666666667e-05,8.50076666666667e-05,8.8841e-05,2.3642957042957e-07,1.04509397191626,1.04509397191626,0.00278127349803238,0.00278127349803238,6,6,NaN,0,1,NaN,NaN,1,1
evaluate,monomial,25000,OK,8.8341e-05,8.8341e-05,0.000179082666666667,2.25440559440559e-07,2.02717499990567,2.02717499990567,0.00255193578791908,0.00255193578791908,6,6,NaN,0,1,NaN,NaN,1,1
evaluate,monomial,100000,OK,0.000103866,0.000103866,0.000754216,2.68397602397602e-07,7.26143300021181,7.26143300021181,0.00258407565899912,0.00258407565899912,6,6,NaN,0,1,NaN,NaN,1,1
evaluate,monomial,1000000,OK,0.000100856,0.000100856,0.007310666,3.38327672327672e-07,72.4861783136353,72.4861783136353,0.00335456167533585,0.00335456167533585,7,7,NaN,0,1,NaN,NaN,1,1
