family,n,param,bmd_status,bmd_build_time_s,bmd_reachable_nodes,bmd_workspace_nodes,bmd_garbage_nodes,bmd_workspace_over_reachable,bmd_reachable_payload_bytes_lb,bmd_workspace_payload_bytes_lb,bmd_compact_time_s,bmd_compact_nodes,bmd_compact_payload_bytes_lb,bmd_compact_exact,dense_status,dense_build_time_s,dense_coefficients,dense_bytes,sparse_status,sparse_build_time_s,sparse_terms,sparse_bytes,dense_bytes_over_bmd_compact_payload,sparse_bytes_over_bmd_compact_payload,dense_bytes_over_sparse_bytes,dense_build_over_bmd_build,sparse_build_over_bmd_build
monomial,1000,0,OK,0.000254666,6,6,0,1,168,168,0.00185,6,168,1,OK,7.16e-07,1001,8008,OK,7.716e-06,1,16,47.6666666666667,0.0952380952380952,500.5,0.00281152568462221,0.0302985086348394
monomial,10000,0,OK,0.000224241,5,5,0,1,140,140,0.001304,5,140,1,OK,3.83333067729084e-06,10001,80008,OK,6.76520634920635e-06,1,16,571.485714285714,0.114285714285714,5000.5,0.0170946913244716,0.0301693550653375
monomial,100000,0,OK,0.000268491,6,6,0,1,168,168,0.001894,6,168,1,OK,4.13451666666667e-05,100001,800008,OK,6.48742857142857e-06,1,16,4761.95238095238,0.0952380952380952,50000.5,0.153990884858959,0.0241625550630322
monomial,1000000,0,OK,0.000289741,7,7,0,1,196,196,0.000807,7,196,1,OK,0.000824666,1000001,8000008,OK,6.1144126984127e-06,1,16,40816.3673469388,0.0816326530612245,500000.5,2.84621782902661,0.02110302890655
monomial,2000000,0,OK,0.000273241,7,7,0,1,196,196,0.000697,7,196,1,OK,0.005577666,2000001,16000008,OK,6.45260714285714e-06,1,16,81632.693877551,0.0816326530612245,1000000.5,20.4129907297953,0.0236150765912039
geometric_sum,100,0,OK,0.016127666,12,297,285,24.75,336,8316,0.000598,12,336,1,OK,2.08457542457542e-07,101,808,OK,1.22841818181818e-05,101,1616,2.4047619047619,4.80952380952381,0.5,1.2925462522447e-05,0.000761683793438047
geometric_sum,1000,0,OK,0.187061666,18,2994,2976,166.333333333333,504,83832,0.000935,18,504,1,OK,4.70195804195804e-07,1001,8008,OK,3.0856625e-05,1001,16016,15.8888888888889,31.7777777777778,0.5,2.51358717288343e-06,0.000164954293735414
geometric_sum,5000,0,OK,1.028984666,24,14995,14971,624.791666666667,672,419860,0.001755,24,672,1,OK,1.8596127744511e-06,5001,40008,OK,0.0001730035,5001,80016,59.5357142857143,119.071428571429,0.5,1.80723079351612e-06,0.000168130299426639
weighted_sum,50,0,OK,0.012706666,50,287,237,5.74,1400,8036,0.004815,50,1400,1,OK,7.51914085914086e-07,51,408,OK,8.69367857142857e-06,50,800,0.291428571428571,0.571428571428571,0.51,5.91747737694597e-05,0.000684182504791467
weighted_sum,100,0,OK,0.029181666,100,673,573,6.73,2800,18844,0.004238,100,2800,1,OK,7.50915084915085e-07,101,808,OK,9.23742857142857e-06,100,1600,0.288571428571429,0.571428571428571,0.505,2.57324268228923e-05,0.000316549047317195
binomial,10,0,OK,0.003981666,10,78,68,7.8,280,2184,0.000716,10,280,1,OK,8.87225e-06,11,88,OK,0.000156216,11,176,0.314285714285714,0.628571428571429,0.5,0.0022282758021391,0.0392338282517921
binomial,20,0,OK,0.013569666,20,277,257,13.85,560,7756,0.000952,20,560,1,OK,1.59963571428571e-05,21,168,OK,0.000287241,21,336,0.3,0.6,0.5,0.00117883204662938,0.0211678754657631
product_powers_plus_1,10,1,OK,0.018028666,55,348,293,6.32727272727273,1540,9744,0.002306,55,1540,1,OK,2.39885e-05,56,448,OK,0.000417216,56,896,0.290909090909091,0.581818181818182,0.5,0.00133057542915266,0.0231418120453283
product_powers_plus_1,5,8,OK,0.146405666,120,2356,2236,19.6333333333333,3360,65968,0.00631,120,3360,1,OK,4.52399130434783e-05,121,968,OK,0.000705716,121,1936,0.288095238095238,0.576190476190476,0.5,0.000309003840353271,0.00482027792558247
