inner_n,stride_power,blocks,trial,order,bmd_cold_s,sparse_s,sparse_over_bmd
255,10,96,1,BMD_FIRST,0.002102,0.001046,0.497621313035205
255,10,96,2,SPARSE_FIRST,0.001131,0.001039,0.918656056587091
255,10,96,3,BMD_FIRST,0.001327,0.000819,0.617181612660136
255,10,96,4,SPARSE_FIRST,0.001108,0.000862,0.77797833935018
255,10,96,5,BMD_FIRST,0.001364,0.000986,0.722873900293255
255,10,96,6,SPARSE_FIRST,0.001002,0.000839,0.837325349301397
255,10,96,7,BMD_FIRST,0.001103,0.000841,0.762466001813237
255,10,96,8,SPARSE_FIRST,0.001123,0.000809,0.720391807658059
255,10,96,9,BMD_FIRST,0.00112,0.000808,0.721428571428572
255,10,128,1,BMD_FIRST,0.001076,0.001284,1.19330855018587
255,10,128,2,SPARSE_FIRST,0.001059,0.000895,0.845136921624174
255,10,128,3,BMD_FIRST,0.000966,0.000965,0.998964803312629
255,10,128,4,SPARSE_FIRST,0.001294,0.000943,0.728748068006182
255,10,128,5,BMD_FIRST,0.001104,0.001013,0.917572463768116
255,10,128,6,SPARSE_FIRST,0.001389,0.001,0.719942404607631
255,10,128,7,BMD_FIRST,0.001481,0.001095,0.739365293720459
255,10,128,8,SPARSE_FIRST,0.001383,0.000974,0.704266088214028
255,10,128,9,BMD_FIRST,0.001026,0.00093,0.906432748538012
255,10,160,1,BMD_FIRST,0.000977,0.001255,1.28454452405322
255,10,160,2,SPARSE_FIRST,0.001048,0.001286,1.22709923664122
255,10,160,3,BMD_FIRST,0.001004,0.001249,1.24402390438247
255,10,160,4,SPARSE_FIRST,0.001064,0.001232,1.15789473684211
255,10,160,5,BMD_FIRST,0.000973,0.001159,1.19116135662898
255,10,160,6,SPARSE_FIRST,0.000978,0.001077,1.10122699386503
255,10,160,7,BMD_FIRST,0.000995,0.001186,1.19195979899497
255,10,160,8,SPARSE_FIRST,0.001002,0.001081,1.07884231536926
255,10,160,9,BMD_FIRST,0.000962,0.001073,1.11538461538462
255,10,192,1,BMD_FIRST,0.001106,0.001414,1.27848101265823
255,10,192,2,SPARSE_FIRST,0.001043,0.001573,1.50814956855225
255,10,192,3,BMD_FIRST,0.001002,0.001458,1.45508982035928
255,10,192,4,SPARSE_FIRST,0.000994,0.001369,1.37726358148893
255,10,192,5,BMD_FIRST,0.000947,0.00141,1.48891235480465
255,10,192,6,SPARSE_FIRST,0.000991,0.001266,1.27749747729566
255,10,192,7,BMD_FIRST,0.000964,0.00139,1.44190871369295
255,10,192,8,SPARSE_FIRST,0.001,0.001217,1.217
255,10,192,9,BMD_FIRST,0.000942,0.001422,1.50955414012739
255,10,256,1,BMD_FIRST,0.000968,0.001766,1.82438016528926
255,10,256,2,SPARSE_FIRST,0.000984,0.001655,1.68191056910569
255,10,256,3,BMD_FIRST,0.001062,0.001589,1.49623352165725
255,10,256,4,SPARSE_FIRST,0.000995,0.001678,1.68643216080402
255,10,256,5,BMD_FIRST,0.000981,0.001679,1.71151885830785
255,10,256,6,SPARSE_FIRST,0.00098,0.001666,1.7
255,10,256,7,BMD_FIRST,0.000961,0.001802,1.87513007284079
255,10,256,8,SPARSE_FIRST,0.000992,0.001893,1.90826612903226
255,10,256,9,BMD_FIRST,0.00097,0.001911,1.97010309278351
255,10,384,1,BMD_FIRST,0.001109,0.003194,2.88007213706041
255,10,384,2,SPARSE_FIRST,0.000996,0.002739,2.75
255,10,384,3,BMD_FIRST,0.001023,0.002679,2.61876832844575
255,10,384,4,SPARSE_FIRST,0.000945,0.002616,2.76825396825397
255,10,384,5,BMD_FIRST,0.00104,0.002597,2.49711538461538
255,10,384,6,SPARSE_FIRST,0.001064,0.002455,2.30733082706767
255,10,384,7,BMD_FIRST,0.000939,0.002614,2.78381256656017
255,10,384,8,SPARSE_FIRST,0.001012,0.002577,2.54644268774704
255,10,384,9,BMD_FIRST,0.001024,0.002677,2.6142578125
255,10,512,1,BMD_FIRST,0.001009,0.004307,4.26858275520317
255,10,512,2,SPARSE_FIRST,0.00102,0.003593,3.52254901960784
255,10,512,3,BMD_FIRST,0.001078,0.00345,3.20037105751391
255,10,512,4,SPARSE_FIRST,0.001017,0.003278,3.22320550639135
255,10,512,5,BMD_FIRST,0.001031,0.003644,3.53443258971872
255,10,512,6,SPARSE_FIRST,0.001077,0.003515,3.26369545032498
255,10,512,7,BMD_FIRST,0.000969,0.003611,3.7265221878225
255,10,512,8,SPARSE_FIRST,0.001039,0.003614,3.47834456207892
255,10,512,9,BMD_FIRST,0.001024,0.003346,3.267578125
255,10,1024,1,BMD_FIRST,0.001074,0.007609,7.08472998137803
255,10,1024,2,SPARSE_FIRST,0.000978,0.007364,7.52965235173824
255,10,1024,3,BMD_FIRST,0.000979,0.006809,6.95505617977528
255,10,1024,4,SPARSE_FIRST,0.000958,0.007477,7.80480167014614
255,10,1024,5,BMD_FIRST,0.00101,0.006709,6.64257425742574
255,10,1024,6,SPARSE_FIRST,0.00095,0.006993,7.36105263157895
255,10,1024,7,BMD_FIRST,0.00109,0.00738,6.77064220183486
255,10,1024,8,SPARSE_FIRST,0.001051,0.006856,6.523311132255
255,10,1024,9,BMD_FIRST,0.000985,0.007044,7.151269035533
