unique_templates,trial,order,bmd_cold_s,sparse_s,sparse_over_bmd
1,1,BMD_FIRST,0.02867,0.010262,0.357935123822811
1,2,SPARSE_FIRST,0.028703,0.009577,0.333658502595548
1,3,BMD_FIRST,0.021492,0.009226,0.42927600967802
1,4,SPARSE_FIRST,0.022048,0.009999,0.453510522496371
1,5,BMD_FIRST,0.023656,0.010628,0.449272911734866
1,6,SPARSE_FIRST,0.028256,0.009804,0.346970554926387
1,7,BMD_FIRST,0.02131,0.00912,0.427968090098545
2,1,BMD_FIRST,0.174238,0.010326,0.0592637656538757
2,2,SPARSE_FIRST,0.210176,0.010797,0.051371231729598
2,3,BMD_FIRST,0.195831,0.00957,0.0488686673713559
2,4,SPARSE_FIRST,0.22269,0.009308,0.0417980151780502
2,5,BMD_FIRST,0.20726,0.008949,0.0431776512592879
2,6,SPARSE_FIRST,0.197276,0.00931,0.047192765465642
2,7,BMD_FIRST,0.198987,0.009451,0.047495565036912
4,1,BMD_FIRST,0.422087,0.010425,0.0246986995572003
4,2,SPARSE_FIRST,0.421115,0.010997,0.0261140068627335
4,3,BMD_FIRST,0.472197,0.009703,0.0205486269501924
4,4,SPARSE_FIRST,0.428366,0.008692,0.0202910595145273
4,5,BMD_FIRST,0.437995,0.008973,0.0204865352344205
4,6,SPARSE_FIRST,0.429826,0.009661,0.0224765370173047
4,7,BMD_FIRST,0.458104,0.008948,0.0195326825349702
8,1,BMD_FIRST,0.902339,0.009887,0.0109570793238461
8,2,SPARSE_FIRST,0.871896,0.008774,0.0100631267949388
8,3,BMD_FIRST,0.845499,0.011558,0.0136700339089697
8,4,SPARSE_FIRST,0.750407,0.008904,0.0118655609555881
8,5,BMD_FIRST,0.787852,0.010463,0.013280413072506
8,6,SPARSE_FIRST,0.841034,0.009077,0.0107926671216621
8,7,BMD_FIRST,0.804466,0.011085,0.0137793269075387
16,1,BMD_FIRST,1.531013,0.010198,0.00666094931917626
16,2,SPARSE_FIRST,1.470536,0.0093,0.00632422463645909
16,3,BMD_FIRST,1.498567,0.014763,0.00985141138167329
16,4,SPARSE_FIRST,1.566867,0.011037,0.00704399288516511
16,5,BMD_FIRST,1.566064,0.012296,0.0078515309719143
16,6,SPARSE_FIRST,1.600973,0.010374,0.00647980946586857
16,7,BMD_FIRST,1.505332,0.013889,0.00922653607310547
24,1,BMD_FIRST,3.743281,0.014275,0.00381349944073127
24,2,SPARSE_FIRST,3.921414,0.012803,0.00326489373475996
24,3,BMD_FIRST,3.824183,0.019982,0.00522516835622145
24,4,SPARSE_FIRST,3.806948,0.009458,0.00248440483032602
24,5,BMD_FIRST,3.648149,0.018275,0.00500938969323895
24,6,SPARSE_FIRST,3.855057,0.009409,0.00244069024141537
24,7,BMD_FIRST,3.715338,0.016892,0.00454655807896886
32,1,BMD_FIRST,3.026064,0.014814,0.00489546817251717
32,2,SPARSE_FIRST,3.295136,0.010571,0.00320806182203102
32,3,BMD_FIRST,3.523147,0.016966,0.00481558106999225
32,4,SPARSE_FIRST,3.441998,0.01199,0.00348344188462631
32,5,BMD_FIRST,3.733119,0.019053,0.0051037751542343
32,6,SPARSE_FIRST,3.54929,0.010589,0.00298341358412528
32,7,BMD_FIRST,3.179501,0.015862,0.00498883315337847
48,1,BMD_FIRST,4.976314,0.013291,0.00267085236180836
48,2,SPARSE_FIRST,5.20708,0.009654,0.00185401414996505
48,3,BMD_FIRST,5.396019,0.018209,0.00337452481171768
48,4,SPARSE_FIRST,5.59697,0.009373,0.00167465610857303
48,5,BMD_FIRST,5.530917,0.019133,0.00345928170681281
48,6,SPARSE_FIRST,5.184308,0.010891,0.00210076253185575
48,7,BMD_FIRST,4.971017,0.017403,0.00350089327797511
64,1,BMD_FIRST,5.59297,0.016523,0.00295424434602724
64,2,SPARSE_FIRST,5.628361,0.00914,0.0016239185794941
64,3,BMD_FIRST,5.752243,0.020468,0.00355826414148359
64,4,SPARSE_FIRST,5.665565,0.009999,0.00176487252374653
64,5,BMD_FIRST,5.66461,0.019057,0.00336422101433285
64,6,SPARSE_FIRST,5.714517,0.009405,0.00164580838590558
64,7,BMD_FIRST,5.626602,0.018994,0.00337574969759724
