shift_power,q_step,bit_band_overlap,normalized_band_overlap,normalized_band_separation,p_terms,q_terms,sparse_pair_products,status,bmd_p_nodes,bmd_q_nodes,bmd_operand_union_nodes,bmd_result_nodes,bmd_new_workspace_nodes,bmd_mul_cache_entries,bmd_result_over_operand_union,bmd_new_over_operand_union,sparse_pairs_per_new_bmd_node,sparse_result_terms,sparse_result_max_coeff,sparse_result_terms_per_bmd_result_node,bmd_median_s,bmd_q25_s,bmd_q75_s,bmd_cv,sparse_median_s,sparse_q25_s,sparse_q75_s,sparse_cv,ratio_median,robust_ratio_low,robust_ratio_high,robust_winner,numeric_check
0,1,8,1,0,256,256,65536,OK,8,8,8,510,540,36,63.75,67.5,121.362962962963,511,256,1.00196078431373,0.090377,0.086899,0.096215,0.108666521708141,0.003645,0.003381,0.00406,0.115263366163986,0.0403310576806046,0.03514005092761,0.0467209058792391,SPARSE,1
1,2,7,0.875,0.125,256,256,65536,OK,8,8,16,383,410,36,23.9375,25.625,159.843902439024,766,128,2,0.089417,0.06332,0.091356,0.206223745063295,0.003971,0.003836,0.004156,0.122287729100282,0.0444098996835054,0.0419895792285126,0.0656348704990524,SPARSE,1
2,4,6,0.75,0.25,256,256,65536,OK,8,8,16,256,281,35,16,17.5625,233.224199288256,1276,64,4.984375,0.051168,0.049204,0.05206,0.095540438255065,0.003102,0.003061,0.003706,0.116026150127252,0.0606238273921201,0.0587975412985017,0.0753190797496139,SPARSE,1
3,8,5,0.625,0.375,256,256,65536,OK,8,8,16,161,184,33,10.0625,11.5,356.173913043478,2296,32,14.2608695652174,0.030594,0.027291,0.03276,0.209071905746474,0.002173,0.002118,0.002691,0.191883461792571,0.0710269987579264,0.0646520146520147,0.0986039353633066,SPARSE,1
4,16,4,0.5,0.5,256,256,65536,OK,8,8,16,98,119,30,6.125,7.4375,550.72268907563,4336,16,44.2448979591837,0.021259,0.017909,0.024519,0.158429240851028,0.002403,0.002291,0.002484,0.130460487281453,0.113034479514559,0.0934377421591419,0.138701211681278,SPARSE,1
5,32,3,0.375,0.625,256,256,65536,OK,8,8,16,59,78,26,3.6875,4.875,840.205128205128,8416,8,142.64406779661,0.01371,0.012747,0.01451,0.180443393293805,0.002545,0.002438,0.002951,0.111915896569673,0.185630926331145,0.16802205375603,0.231505452263278,SPARSE,1
6,64,2,0.25,0.75,256,256,65536,OK,8,8,16,36,53,21,2.25,3.3125,1236.52830188679,16576,4,460.444444444444,0.009831,0.009128,0.010084,0.0861887010709246,0.002161,0.002044,0.002308,0.0663847279952199,0.219814871325399,0.202697342324474,0.25284837861525,SPARSE,1
7,128,1,0.125,0.875,256,256,65536,OK,8,8,16,23,38,15,1.4375,2.375,1724.63157894737,32896,2,1430.26086956522,0.005923,0.005816,0.006072,0.0779343241875324,0.002278,0.002161,0.002356,0.0571751465875555,0.384602397433733,0.355895915678524,0.405089408528198,SPARSE,1
8,256,0,0,1,256,256,65536,OK,8,8,16,16,8,8,1,0.5,8192,65536,1,4096,0.001574,0.001196,0.001643,0.164122537012496,0.0023,0.002133,0.002315,0.074037365711065,1.46124523506989,1.29823493609251,1.93561872909699,BMD,1
9,512,0,0,1,256,256,65536,OK,8,8,16,16,8,8,1,0.5,8192,65536,1,4096,0.001158,0.001114,0.001607,0.232291452821015,0.002036,0.001862,0.002262,0.108613554704025,1.75820379965458,1.15868077162414,2.03052064631957,BMD,1
10,1024,0,0,1,256,256,65536,OK,8,8,16,16,8,8,1,0.5,8192,65536,1,4096,0.001309,0.001096,0.001565,0.187643311320288,0.001948,0.001858,0.002073,0.0771538813354559,1.48815889992361,1.18722044728435,1.89142335766423,BMD,1
12,4096,0,0,1,256,256,65536,OK,8,8,16,16,8,8,1,0.5,8192,65536,1,4096,0.001102,0.001058,0.001112,0.0375648560539897,0.001893,0.001875,0.001916,0.0397372143175987,1.71778584392015,1.68615107913669,1.8109640831758,BMD,1
