shift_power,bit_band_overlap,trial,order,bmd_cold_s,sparse_s,sparse_over_bmd
0,8,1,BMD_FIRST,0.090377,0.004174,0.0461843168062671
0,8,2,SPARSE_FIRST,0.096215,0.003645,0.0378839058358884
0,8,3,BMD_FIRST,0.088927,0.004329,0.0486803782878091
0,8,4,SPARSE_FIRST,0.082557,0.003731,0.045193018157152
0,8,5,BMD_FIRST,0.094027,0.00406,0.0431790868580301
0,8,6,SPARSE_FIRST,0.099808,0.003634,0.0364099070214812
0,8,7,BMD_FIRST,0.101248,0.003381,0.0333932522123894
0,8,8,SPARSE_FIRST,0.086899,0.003021,0.0347644967145767
0,8,9,BMD_FIRST,0.069494,0.003333,0.0479609750482056
1,7,1,BMD_FIRST,0.053546,0.00322,0.0601352108467486
1,7,2,SPARSE_FIRST,0.06332,0.002865,0.0452463676563487
1,7,3,BMD_FIRST,0.095225,0.004032,0.0423418220005251
1,7,4,SPARSE_FIRST,0.090646,0.004156,0.0458486860975664
1,7,5,BMD_FIRST,0.089355,0.004199,0.0469923339488557
1,7,6,SPARSE_FIRST,0.089417,0.003841,0.0429560374425445
1,7,7,BMD_FIRST,0.093157,0.004198,0.0450637096514486
1,7,8,SPARSE_FIRST,0.091356,0.003971,0.0434673146810281
1,7,9,BMD_FIRST,0.059652,0.003836,0.0643063099309328
2,6,1,BMD_FIRST,0.051168,0.003269,0.0638875859912445
2,6,2,SPARSE_FIRST,0.046912,0.002964,0.0631821282401091
2,6,3,BMD_FIRST,0.049204,0.003706,0.0753190797496139
2,6,4,SPARSE_FIRST,0.055873,0.00396,0.0708750201349489
2,6,5,BMD_FIRST,0.059471,0.003768,0.0633586117603538
2,6,6,SPARSE_FIRST,0.05206,0.003092,0.0593930080676143
2,6,7,BMD_FIRST,0.051701,0.003102,0.0599988394808611
2,6,8,SPARSE_FIRST,0.050717,0.002957,0.0583039217619339
2,6,9,BMD_FIRST,0.042441,0.003061,0.0721236540138074
3,5,1,BMD_FIRST,0.043583,0.003218,0.0738361287658032
3,5,2,SPARSE_FIRST,0.042401,0.00301,0.0709888917714205
3,5,3,BMD_FIRST,0.030594,0.002691,0.0879584232202393
3,5,4,SPARSE_FIRST,0.03276,0.00237,0.0723443223443224
3,5,5,BMD_FIRST,0.03079,0.002173,0.0705748619681715
3,5,6,SPARSE_FIRST,0.026265,0.001939,0.0738244812488102
3,5,7,BMD_FIRST,0.026131,0.002154,0.0824308292832268
3,5,8,SPARSE_FIRST,0.027291,0.001982,0.0726246748012165
3,5,9,BMD_FIRST,0.027473,0.002118,0.0770938739853674
4,4,1,BMD_FIRST,0.025197,0.002291,0.0909235226415843
4,4,2,SPARSE_FIRST,0.01698,0.001911,0.112544169611307
4,4,3,BMD_FIRST,0.01709,0.003028,0.177179637214745
4,4,4,SPARSE_FIRST,0.017909,0.002151,0.120107208666034
4,4,5,BMD_FIRST,0.021013,0.002307,0.109789178127826
4,4,6,SPARSE_FIRST,0.021259,0.002418,0.113740063032128
4,4,7,BMD_FIRST,0.023152,0.002654,0.114633724948169
4,4,8,SPARSE_FIRST,0.025136,0.002403,0.0955999363462763
4,4,9,BMD_FIRST,0.024519,0.002484,0.101309188792365
5,3,1,BMD_FIRST,0.01371,0.002444,0.178264040846098
5,3,2,SPARSE_FIRST,0.014745,0.002438,0.165344184469312
5,3,3,BMD_FIRST,0.013953,0.002545,0.182398050598438
5,3,4,SPARSE_FIRST,0.01326,0.002438,0.183861236802413
5,3,5,BMD_FIRST,0.01451,0.002822,0.194486560992419
5,3,6,SPARSE_FIRST,0.012747,0.002427,0.190397740644858
5,3,7,BMD_FIRST,0.019847,0.003162,0.159318788733814
5,3,8,SPARSE_FIRST,0.01129,0.003071,0.272010628875111
5,3,9,BMD_FIRST,0.011514,0.002951,0.256296682299809
6,2,1,BMD_FIRST,0.007892,0.002394,0.303345159655347
6,2,2,SPARSE_FIRST,0.01053,0.002038,0.193542260208927
6,2,3,BMD_FIRST,0.010084,0.002044,0.202697342324474
6,2,4,SPARSE_FIRST,0.008815,0.002007,0.227680090754396
6,2,5,BMD_FIRST,0.009205,0.002251,0.244541010320478
6,2,6,SPARSE_FIRST,0.010114,0.002308,0.228198536681827
6,2,7,BMD_FIRST,0.009128,0.002161,0.236744084136722
6,2,8,SPARSE_FIRST,0.009948,0.002133,0.214414957780458
6,2,9,BMD_FIRST,0.009831,0.002356,0.239650086461194
7,1,1,BMD_FIRST,0.005916,0.002356,0.398242055442867
7,1,2,SPARSE_FIRST,0.006022,0.002161,0.358850880106277
7,1,3,BMD_FIRST,0.005816,0.002382,0.409559834938102
7,1,4,SPARSE_FIRST,0.006262,0.002305,0.368093260938997
7,1,5,BMD_FIRST,0.00612,0.002278,0.372222222222222
7,1,6,SPARSE_FIRST,0.004846,0.002434,0.502269913330582
7,1,7,BMD_FIRST,0.005923,0.002094,0.353537058922843
7,1,8,SPARSE_FIRST,0.006072,0.002185,0.359848484848485
7,1,9,BMD_FIRST,0.005289,0.002077,0.392701833995084
8,0,1,BMD_FIRST,0.001677,0.002315,1.38044126416219
8,0,2,SPARSE_FIRST,0.001137,0.0023,2.02286719437115
8,0,3,BMD_FIRST,0.001134,0.002127,1.87566137566138
8,0,4,SPARSE_FIRST,0.001643,0.001916,1.1661594643944
8,0,5,BMD_FIRST,0.001691,0.002133,1.26138379657008
8,0,6,SPARSE_FIRST,0.001632,0.002155,1.32046568627451
8,0,7,BMD_FIRST,0.001574,0.002321,1.47458703939009
8,0,8,SPARSE_FIRST,0.001431,0.002309,1.61355695317959
8,0,9,BMD_FIRST,0.001196,0.002489,2.08110367892977
9,0,1,BMD_FIRST,0.001607,0.002262,1.40759178593653
9,0,2,SPARSE_FIRST,0.001723,0.00233,1.35229251305862
9,0,3,BMD_FIRST,0.001842,0.002414,1.31053203040174
9,0,4,SPARSE_FIRST,0.001158,0.001945,1.67962003454231
9,0,5,BMD_FIRST,0.001114,0.001862,1.67145421903052
9,0,6,SPARSE_FIRST,0.001108,0.001818,1.64079422382671
9,0,7,BMD_FIRST,0.00112,0.002036,1.81785714285714
9,0,8,SPARSE_FIRST,0.001169,0.002047,1.75106928999145
9,0,9,BMD_FIRST,0.00107,0.001836,1.71588785046729
10,0,1,BMD_FIRST,0.001089,0.00188,1.72635445362718
10,0,2,SPARSE_FIRST,0.001458,0.001948,1.3360768175583
10,0,3,BMD_FIRST,0.001565,0.0022,1.40575079872204
10,0,4,SPARSE_FIRST,0.001201,0.002222,1.85012489592007
10,0,5,BMD_FIRST,0.001309,0.001954,1.49274255156608
10,0,6,SPARSE_FIRST,0.001096,0.001815,1.65602189781022
10,0,7,BMD_FIRST,0.001091,0.00185,1.69569202566453
10,0,8,SPARSE_FIRST,0.001668,0.001858,1.11390887290168
10,0,9,BMD_FIRST,0.001717,0.002073,1.20733838089691
