case_index,target_new_nodes,overlap_bit,trial,order,bmd_cold_s,sparse_s,sparse_over_bmd
1,8,-1,1,BMD_FIRST,0.000712,0.002001,2.81039325842697
1,8,-1,2,SPARSE_FIRST,0.000679,0.001947,2.86745213549337
1,8,-1,3,BMD_FIRST,0.000525,0.002012,3.83238095238095
1,8,-1,4,SPARSE_FIRST,0.000589,0.00195,3.3106960950764
1,8,-1,5,BMD_FIRST,0.000785,0.001991,2.53630573248408
1,8,-1,6,SPARSE_FIRST,0.000474,0.001705,3.59704641350211
1,8,-1,7,BMD_FIRST,0.000428,0.001682,3.92990654205607
1,8,-1,8,SPARSE_FIRST,0.000554,0.001589,2.86823104693141
1,8,-1,9,BMD_FIRST,0.000451,0.001972,4.37250554323725
1,8,-1,10,SPARSE_FIRST,0.000519,0.001635,3.15028901734104
1,8,-1,11,BMD_FIRST,0.000459,0.001952,4.25272331154684
1,8,-1,12,SPARSE_FIRST,0.000467,0.001683,3.60385438972163
1,8,-1,13,BMD_FIRST,0.000447,0.001882,4.21029082774049
1,8,-1,14,SPARSE_FIRST,0.000511,0.001821,3.56360078277886
1,8,-1,15,BMD_FIRST,0.000418,0.002178,5.21052631578947
1,8,-1,16,SPARSE_FIRST,0.000775,0.002047,2.64129032258065
1,8,-1,17,BMD_FIRST,0.000695,0.002192,3.15395683453237
2,12,7,1,BMD_FIRST,0.000687,0.001826,2.65793304221252
2,12,7,2,SPARSE_FIRST,0.000762,0.001855,2.43438320209974
2,12,7,3,BMD_FIRST,0.000617,0.001572,2.54781199351702
2,12,7,4,SPARSE_FIRST,0.00059,0.001594,2.70169491525424
2,12,7,5,BMD_FIRST,0.000579,0.001581,2.73056994818653
2,12,7,6,SPARSE_FIRST,0.000624,0.001547,2.47916666666667
2,12,7,7,BMD_FIRST,0.000576,0.001468,2.54861111111111
2,12,7,8,SPARSE_FIRST,0.000578,0.0016,2.7681660899654
2,12,7,9,BMD_FIRST,0.000624,0.001564,2.50641025641026
2,12,7,10,SPARSE_FIRST,0.00069,0.001623,2.35217391304348
2,12,7,11,BMD_FIRST,0.000566,0.001465,2.58833922261484
2,12,7,12,SPARSE_FIRST,0.000573,0.001501,2.6195462478185
2,12,7,13,BMD_FIRST,0.000582,0.001542,2.64948453608247
2,12,7,14,SPARSE_FIRST,0.000672,0.001503,2.23660714285714
2,12,7,15,BMD_FIRST,0.000539,0.001664,3.08719851576994
2,12,7,16,SPARSE_FIRST,0.000613,0.001506,2.45676998368679
2,12,7,17,BMD_FIRST,0.000537,0.001645,3.0633147113594
3,16,6,1,BMD_FIRST,0.000794,0.001546,1.94710327455919
3,16,6,2,SPARSE_FIRST,0.000798,0.0016,2.00501253132832
3,16,6,3,BMD_FIRST,0.001135,0.001633,1.43876651982379
3,16,6,4,SPARSE_FIRST,0.000825,0.001742,2.11151515151515
3,16,6,5,BMD_FIRST,0.000733,0.001687,2.30150068212824
3,16,6,6,SPARSE_FIRST,0.000867,0.001574,1.81545559400231
3,16,6,7,BMD_FIRST,0.000752,0.001721,2.28856382978723
3,16,6,8,SPARSE_FIRST,0.000779,0.001651,2.1193838254172
3,16,6,9,BMD_FIRST,0.001008,0.001695,1.68154761904762
3,16,6,10,SPARSE_FIRST,0.000792,0.00168,2.12121212121212
3,16,6,11,BMD_FIRST,0.00089,0.001744,1.95955056179775
3,16,6,12,SPARSE_FIRST,0.000783,0.001668,2.13026819923372
3,16,6,13,BMD_FIRST,0.000735,0.001751,2.38231292517007
3,16,6,14,SPARSE_FIRST,0.000911,0.001643,1.80351262349067
3,16,6,15,BMD_FIRST,0.001062,0.00244,2.29755178907721
3,16,6,16,SPARSE_FIRST,0.001287,0.002301,1.78787878787879
3,16,6,17,BMD_FIRST,0.001271,0.00237,1.86467348544453
4,20,5,1,BMD_FIRST,0.001284,0.002124,1.65420560747664
4,20,5,2,SPARSE_FIRST,0.001437,0.002313,1.60960334029228
