family,case_name,calibration_replay,predicted_new_nodes,actual_new_nodes,new_node_abs_pct_error,pair_products,pairs_per_predicted_new_node,prediction_regime,prediction_confidence,predicted_route,actual_ratio_median,actual_median_winner,actual_robust_winner,routed_correct
v0.5,blocks_96,1,8,8,0,24576,3072,ORDERED_DISJOINT_BANDS,HIGH,SPARSE,0.748886910062333,SPARSE,SPARSE,1
v0.5,blocks_128,1,8,8,0,32768,4096,ORDERED_DISJOINT_BANDS,HIGH,UNCERTAIN,0.882246376811594,SPARSE,SPARSE,NaN
v0.5,blocks_160,1,8,8,0,40960,5120,ORDERED_DISJOINT_BANDS,HIGH,BMD,1.19195979899497,BMD,BMD,1
v0.5,blocks_192,1,8,8,0,49152,6144,ORDERED_DISJOINT_BANDS,HIGH,BMD,1.41851106639839,BMD,BMD,1
v0.5,blocks_256,1,8,8,0,65536,8192,ORDERED_DISJOINT_BANDS,HIGH,BMD,1.71151885830785,BMD,BMD,1
v0.5,blocks_384,1,8,8,0,98304,12288,ORDERED_DISJOINT_BANDS,HIGH,BMD,2.55718475073314,BMD,BMD,1
v0.5,blocks_512,1,8,8,0,131072,16384,ORDERED_DISJOINT_BANDS,HIGH,BMD,3.5087890625,BMD,BMD,1
v0.5,blocks_1024,1,8,8,0,262144,32768,ORDERED_DISJOINT_BANDS,HIGH,BMD,7.151269035533,BMD,BMD,1
v0.6,templates_1,1,100.087196490904,149,0.328273849054338,262144,2619.15618771303,BITCUBE_RIDGE,HIGH,SPARSE,0.414440311126141,SPARSE,SPARSE,1
v0.6,templates_2,1,1035.66,1170,0.114820512820513,262144,253.117818589112,GENERAL_HEAVY_OVERLAP,LOW,SPARSE,0.047495565036912,SPARSE,SPARSE,1
v0.6,templates_4,1,2339.46,2459,0.0486132574217161,262144,112.053208860164,GENERAL_HEAVY_OVERLAP,LOW,SPARSE,0.0224765370173047,SPARSE,SPARSE,1
v0.6,templates_8,1,5205.36,4628,0.124753673292999,262144,50.360397743864,GENERAL_HEAVY_OVERLAP,LOW,SPARSE,0.0117557673054835,SPARSE,SPARSE,1
v0.6,templates_16,1,9079.86,8302,0.0936954950614308,262144,28.8709297279914,GENERAL_HEAVY_OVERLAP,LOW,SPARSE,0.00720895250399572,SPARSE,SPARSE,1
v0.6,templates_24,1,12966.66,14059,0.0776968489935273,262144,20.2167713196768,GENERAL_HEAVY_OVERLAP,LOW,SPARSE,0.00374972287512201,SPARSE,SPARSE,1
v0.6,templates_32,1,15561.96,15186,0.0247570130383247,262144,16.845178884922,GENERAL_HEAVY_OVERLAP,LOW,SPARSE,0.00430389558622637,SPARSE,SPARSE,1
v0.6,templates_48,1,24258.06,21433,0.131808892828815,262144,10.8064700969492,GENERAL_HEAVY_OVERLAP,LOW,SPARSE,0.00255248623028646,SPARSE,SPARSE,1
v0.6,templates_64,1,28107.96,28036,0.00256669995719786,262144,9.32632606564119,GENERAL_HEAVY_OVERLAP,LOW,SPARSE,0.002916882186064,SPARSE,SPARSE,1
v0.7,shift_0,1,145.104343319708,540,0.731288253111653,65536,451.647404210396,BITCUBE_RIDGE,HIGH,SPARSE,0.0403310576806046,SPARSE,SPARSE,1
v0.7,shift_1,1,142.683551240647,410,0.651991338437446,65536,459.310126711581,BITCUBE_RIDGE,HIGH,SPARSE,0.0444098996835054,SPARSE,SPARSE,1
v0.7,shift_2,1,135.074820427543,281,0.519306688869954,65536,485.182951141918,BITCUBE_RIDGE,HIGH,SPARSE,0.0606238273921201,SPARSE,SPARSE,1
v0.7,shift_3,1,122.256724951228,184,0.335561277438976,65536,536.052311446623,BITCUBE_RIDGE,HIGH,SPARSE,0.0710269987579264,SPARSE,SPARSE,1
v0.7,shift_4,1,105.312281353272,119,0.115022845770827,65536,622.301588740239,BITCUBE_RIDGE,HIGH,SPARSE,0.113034479514559,SPARSE,SPARSE,1
v0.7,shift_5,1,85.2156291385255,78,0.0925080658785324,65536,769.060800964873,BITCUBE_RIDGE,HIGH,SPARSE,0.185630926331145,SPARSE,SPARSE,1
v0.7,shift_6,1,62.8521185411543,53,0.185889029078384,65536,1042.70152734929,BITCUBE_RIDGE,HIGH,SPARSE,0.219814871325399,SPARSE,SPARSE,1
v0.7,shift_7,1,38.5230153307425,38,0.0137635613353292,65536,1701.21677748575,BITCUBE_RIDGE,HIGH,SPARSE,0.384602397433733,SPARSE,SPARSE,1
v0.7,shift_8,1,8,8,0,65536,8192,ORDERED_DISJOINT_BANDS,HIGH,BMD,1.46124523506989,BMD,BMD,1
v0.7,shift_9,1,8,8,0,65536,8192,ORDERED_DISJOINT_BANDS,HIGH,BMD,1.75820379965458,BMD,BMD,1
v0.7,shift_10,1,8,8,0,65536,8192,ORDERED_DISJOINT_BANDS,HIGH,BMD,1.48815889992361,BMD,BMD,1
v0.7,shift_12,1,8,8,0,65536,8192,ORDERED_DISJOINT_BANDS,HIGH,BMD,1.71778584392015,BMD,BMD,1
v0.8,new_8,1,8,8,0,65536,8192,ORDERED_DISJOINT_BANDS,HIGH,BMD,3.75722543352601,BMD,BMD,1
v0.8,new_12,1,12.9913962292432,12,0.0826163524369348,65536,5044.56940913561,BITCUBE_RIDGE,HIGH,BMD,2.66440677966102,BMD,BMD,1
v0.8,new_16,1,16.9280981974773,16,0.0580061373423288,65536,3871.43311879929,BITCUBE_RIDGE,HIGH,BMD,2.04484848484848,BMD,BMD,1
v0.8,new_20,1,21.1339550038739,20,0.056697750193694,65536,3100.98133491754,BITCUBE_RIDGE,HIGH,BMD,1.4534585824082,BMD,BMD,1
v0.8,new_24,1,24.8901472391732,24,0.0370894682988849,65536,2633.00973554935,BITCUBE_RIDGE,HIGH,UNCERTAIN,1.21723646723647,BMD,OVERLAP,NaN
v0.8,new_28,1,28.1948950374369,28,0.00696053705131737,65536,2324.39240908618,BITCUBE_RIDGE,HIGH,UNCERTAIN,1.04824813325675,BMD,OVERLAP,NaN
v0.8,new_32,1,31.0318278985066,32,0.030255378171668,65536,2111.89621875783,BITCUBE_RIDGE,HIGH,UNCERTAIN,0.968443960826986,SPARSE,OVERLAP,NaN
v0.8,new_36,1,33.3096727030269,36,0.0747313138048076,65536,1967.47655206004,BITCUBE_RIDGE,HIGH,UNCERTAIN,0.947970863683663,SPARSE,OVERLAP,NaN
v0.8,new_40,1,36.0611017225286,40,0.0984724569367851,65536,1817.35989388969,BITCUBE_RIDGE,HIGH,UNCERTAIN,0.988198757763975,SPARSE,OVERLAP,NaN
